"alert_id","gui_mode_name","alert_time_type","effect_name","effect_code","cause_name","cause_code","affent_list","severity_name","severity_code","header","details","url","notif_start","notif_end","created_dt","last_modified_dt","closed_dt","alert_lifecycle","color","service_effect_text","short_header","timeframe_text","ObjectId","month","year","IsGreenLine","IsRedLine","IsBlueLine","IsOrangeLine","SubwayLine"
380917,"Subway","One-time","Station Issue","UNKNOWN_EFFECT","construction","CONSTRUCTION",NA,"information",1,"Mattapan station: Beginning January 9 through January 18, Gillespies Lane will be closed due to construction. Customers can use the walking path in the parking lot as an alternate option to access Mattapan station.","Affected routes:
Mattapan Trolley",NA,2021-01-04,"2021/01/19 02:30:00+00","2021/01/04 23:20:13+00","2021/01/19 02:30:17+00",2021-01-19 02:30:17,"Ongoing","DA291C","Change at Mattapan","Mattapan station: Beginning Jan 9 through Jan 18, Gillespies Ln will be closed. Customers can use the walking path in the parking lot as an","last day",91716,1,2021,0,1,0,0,"RED"
380875,"Subway","One-time","Delay","OTHER_EFFECT","disabled train","TECHNICAL_PROBLEM",NA,"up to 15 minutes",4,"Green Line experiencing delays of up to 15 minutes due to a train with an earlier mechanical problem at Boylston.","Affected stops:
North Station
Haymarket
Government Center
Park Street
Boylston
Arlington
Copley
Hynes Convention Center
Kenmore
Prudential
Symphony",NA,2021-01-04,"2021/01/04 08:46:46+00","2021/01/04 07:54:56+00","2021/01/04 08:46:46+00",2021-01-04 08:46:46,"New","00843D","Green Line delay","Green Line experiencing delays of up to 15 minutes due to a train with an earlier mechanical problem at Boylston.",NA,91811,1,2021,1,0,0,0,"GREEN"
380830,"Subway","One-time","Delay","OTHER_EFFECT","disabled train","TECHNICAL_PROBLEM",NA,"up to 20 minutes",5,"Green Line D branch experiencing delays of about 20 minutes due to a disabled train near Longwood.",NA,NA,2021-01-02,"2021/01/02 11:45:07+00","2021/01/02 11:23:02+00","2021/01/02 11:45:07+00",2021-01-02 11:45:07,"New","00843D","Green Line D branch delay","Green Line D branch experiencing delays of about 20 minutes due to a disabled train near Longwood.",NA,91821,1,2021,1,0,0,0,"GREEN"
380831,"Subway","One-time","Shuttle","DETOUR","power problem","TECHNICAL_PROBLEM",NA,"up to 30 minutes",7,"Green Line D Branch Update: Shuttle buses replacing service between Kenmore and Reservoir due to an overhead wire problem between Fenway and Longwood. Personnel are on scene working to restore service.","Affected stops:
Kenmore
Fenway
Longwood
Brookline Village
Brookline Hills
Beaconsfield
Reservoir",NA,2021-01-02,"2021/01/02 14:47:21+00","2021/01/02 11:44:50+00","2021/01/02 14:47:21+00",2021-01-02 14:47:21,"New","00843D","Green Line D branch shuttle","Green Ln D Update: Shuttle buses replacing service between Kenmore & Reservoir due to an overhead wire problem between Fenway & Longwood",NA,91829,1,2021,1,0,0,0,"GREEN"
380838,"Subway","One-time","Delay","OTHER_EFFECT","police action","POLICE_ACTIVITY",NA,"up to 10 minutes",3,"Red Line experiencing southbound delays of about 10 minutes due to police activity onboard a train at Park St.",NA,NA,2021-01-02,"2021/01/02 14:02:46+00","2021/01/02 13:55:18+00","2021/01/02 14:02:46+00",2021-01-02 14:02:46,"New","DA291C","Red Line delay","Red Line experiencing southbound delays of about 10 minutes due to police activity onboard a train at Park St.",NA,91875,1,2021,0,1,0,0,"RED"
380788,"Subway","One-time","Delay","OTHER_EFFECT","disabled train","TECHNICAL_PROBLEM",NA,"up to 10 minutes",3,"Green Line D branch experiencing delays of up to 10 minutes due to disabled train at Reservoir eastbound.",NA,NA,2021-01-01,"2021/01/01 13:27:41+00","2021/01/01 12:05:34+00","2021/01/01 13:27:41+00",2021-01-01 13:27:41,"New","00843D","Green Line D branch delay","Green Line D branch experiencing delays of up to 10 minutes due to disabled train at Reservoir eastbound.",NA,91881,1,2021,1,0,0,0,"GREEN"
380839,"Subway","One-time","Delay","OTHER_EFFECT",NA,"UNKNOWN_CAUSE",NA,"up to 15 minutes",4,"Southbound Orange Line trains delayed about 15 minutes after we responded to a train with a mechanical problem at Sullivan. The train is moving at this time.",NA,NA,2021-01-02,"2021/01/02 16:45:11+00","2021/01/02 14:24:26+00","2021/01/02 16:45:11+00",2021-01-02 16:45:11,"New","ED8B00","Orange Line delay","Southbound Orange Ln trains delayed about 15 minutes after we responded to a train with a mechanical problem at Sullivan",NA,91883,1,2021,0,0,0,1,"ORANGE"
380840,"Subway","One-time","Shuttle","DETOUR","power problem","TECHNICAL_PROBLEM",NA,"up to 30 minutes",7,"Green Line D Branch Update: Shuttle buses continue to replace train service between Kenmore and Reservoir while personnel make repairs to the overhead wires near Fenway.","Affected stops:
Kenmore
Fenway
Longwood
Brookline Village
Brookline Hills
Beaconsfield
Reservoir",NA,2021-01-02,"2021/01/02 17:48:03+00","2021/01/02 15:01:58+00","2021/01/02 17:48:03+00",2021-01-02 17:48:03,"New","00843D","Green Line D branch shuttle","Green Ln D Update: Shuttle buses continue to replace train service between Kenmore & Reservoir while personnel make repairs to the overhead",NA,91889,1,2021,1,0,0,0,"GREEN"
380893,"Subway","One-time","Delay","OTHER_EFFECT","disabled train","TECHNICAL_PROBLEM",NA,"up to 10 minutes",3,"Red Line Update: Residual southbound delays of about 10 minutes on the Braintree Branch due to a train with an earlier door problem at Park Street.",NA,NA,2021-01-04,"2021/01/04 14:48:46+00","2021/01/04 14:21:59+00","2021/01/04 14:48:46+00",2021-01-04 14:48:46,"New","DA291C","Red Line delay","Red Ln Update: Residual southbound delays of about 10 minutes on the Braintree Branch due to a train with an earlier door problem at Park St",NA,91909,1,2021,0,1,0,0,"RED"
380848,"Subway","One-time","Delay","OTHER_EFFECT","disabled train","TECHNICAL_PROBLEM",NA,"up to 10 minutes",3,"Green Line B branch experiencing delays of about 10 minutes due to a train with an earlier mechanical problem at South Street.",NA,NA,2021-01-03,"2021/01/03 06:22:38+00","2021/01/03 06:10:38+00","2021/01/03 06:22:38+00",2021-01-03 06:22:38,"New","00843D","Green Line B branch delay","Green Line B branch experiencing delays of about 10 minutes due to a train with an earlier mechanical problem at South Street.",NA,91916,1,2021,1,0,0,0,"GREEN"
